"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/9/23 9:11 PM,"Kep1er","1448627067856179203",,"-1","ko","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","???

#??? #YUJIN
#Kep1er #??? https://t.co/8o8ukKOln6",,,2301.0,"1667157439408644098"
6/9/23 9:01 PM,"Kep1er","1448627067856179203",,"-1","ko","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Kep1erving ???? | ???? (Drowsy Drowsy) #1

?https://t.co/aGYVbIzA5D

#Kep1er #??? https://t.co/GpAfYk0hFY",,,730.0,"1667154924986302464"
6/9/23 9:01 AM,"TVLIFE(????????)","128475031",,"-1","ja","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","?THE MUSIC DAY 2023??1???????????

?????????11????3?????LE SSERAFIM
NewJeans?TOMORROW X TOGETHER??TEAM??????
IVE?Kep1er????

???????????
https://t.co/aqvLAG7Iev

#THEMUSICDAY #???",,,433.0,"1666973635725213696"
6/10/23 5:37 PM,"??river????????????????","1193172190180429825",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @MnetJP_Ch: ?#KCONJAPAN2023?
6/15(?)18??????????

??? 
#AB6IX #ATBO #ATEEZ #DXTEEN #ENHYPEN #iKON #INI #ITZY #JO1 #JUSTB #Kep1er #LE_SSE…",,,6065.0,"1667466040924844032"
6/10/23 5:37 PM,"? ?","1606141079216353281",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @MnetJP_Ch: ?#KCONJAPAN2023?
6/15(?)18??????????

??? 
#AB6IX #ATBO #ATEEZ #DXTEEN #ENHYPEN #iKON #INI #ITZY #JO1 #JUSTB #Kep1er #LE_SSE…",,,6065.0,"1667466021299712000"
6/10/23 5:37 PM,"MINI??????","1004525670892892161",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @MnetJP_Ch: ?#KCONJAPAN2023?
6/15(?)18??????????

??? 
#AB6IX #ATBO #ATEEZ #DXTEEN #ENHYPEN #iKON #INI #ITZY #JO1 #JUSTB #Kep1er #LE_SSE…",,,6065.0,"1667465976374501376"
6/10/23 5:37 PM,"#WIZONELOVEIZONE","307752252",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @kep1er_jp: ??
Kep1er JAPAN CONCERT TOUR 2023 <???-??>

SEE YOU LATER?

#Kep1er #??? #????
#Kep1er_JAPAN_CONCERT_TOUR2023 
#FLY_BY https…",,,689.0,"1667465975074025472"
6/10/23 5:37 PM,"?","1574776216103841792",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @MnetJP_Ch: ?#KCONJAPAN2023?
6/15(?)18??????????

??? 
#AB6IX #ATBO #ATEEZ #DXTEEN #ENHYPEN #iKON #INI #ITZY #JO1 #JUSTB #Kep1er #LE_SSE…",,,6065.0,"1667465959421145088"
6/10/23 5:37 PM,"???????????","3555363140",,"-1","th","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @HansoheeTH: ????????? kep1er ??????????????????????????????  ???????????????????? https://t.co/rcNTcl9NSB",,,92.0,"1667465951917518849"
6/10/23 5:37 PM,"@PaP","725728493368045568",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @vanishingstripe: ?: As head rabbit, is there a bunny character you think you resemble the most?
??: Judy! (Zootopia)
?: Oh... oh you do…",,,6.0,"1667465924235112448"
6/10/23 5:37 PM,"lii","2605745130",,"-1","und","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @Twinklestar1112: 230609
??
 #??? #?????? #Kep1er https://t.co/Wsnbn4Vqa3",,,128.0,"1667465902823194625"
6/10/23 5:36 PM,"chaelouve","1071729389597913089",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @theseoulstory: Brand reputation for rookie idol groups in the month of June:

1) NewJeans
2) FIFTY FIFTY
3) LE SSERAFIM
4) H1-KEY
5) BO…",,,478.0,"1667465802877116416"
6/10/23 5:36 PM,"???","1635303760787550210",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @kep1er_jp: ??
Kep1er JAPAN CONCERT TOUR 2023 <???-??>

???????????????????
????????????????

?????? @Lemino_live ??????????????????????…",,,1038.0,"1667465770849406977"
6/10/23 5:36 PM,"? keb | msr ?","1152620241932787713",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @moou30: ??????????
#Kep1er
#Kep1er_JAPAN_CONCERT_TOUR_2023
#???
#?? https://t.co/gVmXChO7aO",,,1.0,"1667465762150424576"
6/10/23 5:36 PM,"Sal is Giddy! ? KARMA ??","1354020844855578624",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @hrts4kepi: kep1er I know there’s like 15 european kep1ians but u should still do a concert here again please https://t.co/WeitajELZx",,,1.0,"1667465753635741697"
6/10/23 5:36 PM,"???","1635636528859828226",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Kep1er JAPAN CONCERT TOUR 2023 <FLY-BY> ???? ? ?? ?? ??

???6/11(?) ???? 1?

???~??+???

???LINE Pay???????????????????DM???????",,,0.0,"1667465733536886784"
6/10/23 5:36 PM,"Inn ??","1529527398366171136",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","[Day 6]
Looking for interactive moots  #kpoptwt #stantwt 

•05 | 17 y/o
•??
•multistan - hybe groups, twice, nct , kep1er & more ( in bio)
•all fandoms are welcome 
•ifb everyone as long as they're not toxic or under 14 

?/? for follow https://t.co/55UT1cSrry",,,0.0,"1667465661151363073"
6/10/23 5:36 PM,"angel","1536002879513034752",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @bnsforju: ? zb1 pob prices: guide for ph-zeroses 

reminders: 
— prices will very depending on its eta (feta, sfeta & neta) 
— based fr…",,,22.0,"1667465641572585472"
6/10/23 5:36 PM,"Rolydown","3297147046",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @theseoulstory: Brand reputation for rookie idol groups in the month of June:

1) NewJeans
2) FIFTY FIFTY
3) LE SSERAFIM
4) H1-KEY
5) BO…",,,478.0,"1667465638044999682"
6/10/23 5:35 PM,"piaji ?","1416322218640871427",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @hypingkepi: IM DELETING YOU, Kep1er!?? ??]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]] 10% complete..... ????]]]]]]]]]]]]]]]]]]]]]]]]]]] 35% comp…",,,3.0,"1667465602196226049"
